date,product,category,region,sales,quantity,unit_price,customer_type,channel,satisfaction
2024-01-05,无线蓝牙耳机Pro,电子产品,华东,15800,45,351.11,新客,线上,4.2
2024-01-08,智能手表S3,电子产品,华北,22400,28,800.00,老客,线下,4.8
2024-01-12,有机纯牛奶12盒装,食品饮料,华南,3600,120,30.00,新客,线上,3.9
2024-01-15,儿童益智积木套装,母婴玩具,华东,8960,64,140.00,新客,线上,4.5
2024-01-18,男士运动跑鞋,服饰鞋包,华北,12500,50,250.00,老客,线下,4.1
2024-01-22,家用空气净化器,家电,华南,38500,35,1100.00,老客,线下,4.7
2024-01-25,进口橄榄油1L,食品饮料,西南,4200,70,60.00,新客,线上,4.0
2024-02-01,无线蓝牙耳机Pro,电子产品,华东,14220,40,355.50,老客,线上,4.3
2024-02-05,智能手表S3,电子产品,华中,31200,39,800.00,新客,线下,4.6
2024-02-10,儿童益智积木套装,母婴玩具,华北,7840,56,140.00,新客,线上,4.4
2024-02-14,男士运动跑鞋,服饰鞋包,华东,18750,75,250.00,老客,线下,4.2
2024-02-18,有机纯牛奶12盒装,食品饮料,华南,2880,96,30.00,老客,线上,4.1
2024-02-22,家用空气净化器,家电,华东,44000,40,1100.00,新客,线上,4.9
2024-03-01,进口橄榄油1L,食品饮料,华北,5400,90,60.00,新客,线下,3.8
2024-03-05,无线蓝牙耳机Pro,电子产品,西南,10575,30,352.50,老客,线上,4.1
2024-03-10,智能手表S3,电子产品,华南,28000,35,800.00,老客,线下,4.7
2024-03-15,儿童益智积木套装,母婴玩具,华东,12600,90,140.00,新客,线上,4.6
2024-03-20,男士运动跑鞋,服饰鞋包,西南,11250,45,250.00,新客,线下,3.5
2024-03-25,有机纯牛奶12盒装,食品饮料,华中,2400,80,30.00,老客,线上,4.3
2024-04-01,家用空气净化器,家电,华北,49500,45,1100.00,老客,线下,4.8
2024-04-05,进口橄榄油1L,食品饮料,华东,6600,110,60.00,新客,线上,4.2
2024-04-10,无线蓝牙耳机Pro,电子产品,华中,17640,49,360.00,新客,线下,4.0
2024-04-15,智能手表S3,电子产品,华东,35200,44,800.00,老客,线上,4.9
2024-04-20,儿童益智积木套装,母婴玩具,华南,15400,110,140.00,老客,线上,4.7
2024-04-25,男士运动跑鞋,服饰鞋包,华北,20000,80,250.00,新客,线下,4.3
2024-05-01,有机纯牛奶12盒装,食品饮料,西南,3240,108,30.00,新客,线上,3.7
2024-05-05,家用空气净化器,家电,华东,55000,50,1100.00,老客,线下,4.6
2024-05-10,进口橄榄油1L,食品饮料,华中,7800,130,60.00,老客,线上,4.5
2024-05-15,无线蓝牙耳机Pro,电子产品,华北,52800,150,352.00,新客,线上,2.1
2024-05-20,智能手表S3,电子产品,华南,24000,30,800.00,老客,线下,4.5
